Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22µF,
"C10, C11, C5, C6, C7, C8, C9",1206,7,10µF,
C12,CP_Radial_D10.0mm_P5.00mm_P7.50mm,1,470µF 35V,
"C3, C4",1206,2,1µF,
"CL4, CL6, CR4, CR6",CAP_ECHUX_D4_PAN-L,4,220nF,
"CL5, CR5",1206,2,10nF,
D1,D_SMA,1,SS310,
"D2, D3",1206,2,LED,
J1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
"JL2, JL3, JR2, JR3",970_KEY,4,970,
"L1, L2",L_7.3x7.3_H4.5,2,L,
"R1, R2",0805,2,3.3k,
"R17, R18, R19, R20, R21, R22",0805,6,47,
"RL1, RL11, RL12, RL16, RL7, RR1, RR11, RR12, RR16, RR7",0805,10,332,
"RL10, RR10",0805,2,8.45k,
"RL13, RL2, RR13, RR2",0805,4,47.5k,
"RL14, RL3, RL8, RR14, RR3, RR8",0805,6,1.3k,
"RL15, RL4, RL5, RL9, RR15, RR4, RR5, RR9",0805,8,13k,
"RL6, RR6",0805,2,1.43k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TLE2426xD,
U2,SOT-89-3,1,L78L08_SOT89,
U3,SOT-89-3,1,L79L08_SOT89,
"U4, U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,3,OPA1612AxD,
